"run_label","benchmark","10%(us)","20%(us)","50%(us)","75%(us)","90%(us)","95%(us)","99%(us)","99.9%(us)","99.99%(us)","max(us)","operations","duration(ms)","throughput"
27-11-2023_17-02-09,IAtomicReferenceTest.casOptimisticConcurrencyControl,8327.167,12443.647,16580.607,16654.335,20758.527,20791.295,20856.831,20987.903,25018.367,30769.151,74054,357024,207.42022945236175
27-11-2023_16-50-14,IAtomicReferenceTest.casOptimisticConcurrencyControlLite,8343.551,12460.031,12525.567,16662.527,20774.911,20807.679,20873.215,21004.287,25001.983,29179.903,74748,357023,209.36466278082924
