time,27-11-2023_16-21-50
1970-01-01 00:00:00,668.671
1970-01-01 00:00:01,664.063
1970-01-01 00:00:02,696.319
1970-01-01 00:00:03,685.055
1970-01-01 00:00:04,710.143
1970-01-01 00:00:05,699.391
1970-01-01 00:00:06,722.431
1970-01-01 00:00:07,669.183
1970-01-01 00:00:08,745.983
1970-01-01 00:00:09,684.031
1970-01-01 00:00:10,759.295
1970-01-01 00:00:11,697.855
1970-01-01 00:00:12,694.783
1970-01-01 00:00:13,691.711
1970-01-01 00:00:14,677.887
1970-01-01 00:00:15,717.823
1970-01-01 00:00:16,706.559
1970-01-01 00:00:17,700.927
1970-01-01 00:00:18,683.007
1970-01-01 00:00:19,1310.719
1970-01-01 00:00:20,717.823
1970-01-01 00:00:21,691.199
1970-01-01 00:00:22,671.231
1970-01-01 00:00:23,672.255
1970-01-01 00:00:24,712.703
1970-01-01 00:00:25,747.007
1970-01-01 00:00:26,688.639
1970-01-01 00:00:27,658.943
1970-01-01 00:00:28,727.039
1970-01-01 00:00:29,686.079
1970-01-01 00:00:30,666.623
1970-01-01 00:00:31,685.055
1970-01-01 00:00:32,701.951
1970-01-01 00:00:33,744.959
1970-01-01 00:00:34,699.391
1970-01-01 00:00:35,689.663
1970-01-01 00:00:36,676.351
1970-01-01 00:00:37,723.455
1970-01-01 00:00:38,661.503
1970-01-01 00:00:39,685.567
1970-01-01 00:00:40,699.391
1970-01-01 00:00:41,778.239
1970-01-01 00:00:42,706.559
1970-01-01 00:00:43,683.519
1970-01-01 00:00:44,691.199
1970-01-01 00:00:45,669.183
1970-01-01 00:00:46,652.799
1970-01-01 00:00:47,700.927
1970-01-01 00:00:48,695.807
1970-01-01 00:00:49,671.743
1970-01-01 00:00:50,687.103
1970-01-01 00:00:51,693.247
1970-01-01 00:00:52,703.487
1970-01-01 00:00:53,707.071
1970-01-01 00:00:54,699.903
1970-01-01 00:00:55,723.455
1970-01-01 00:00:56,680.959
1970-01-01 00:00:57,698.879
1970-01-01 00:00:58,702.463
1970-01-01 00:00:59,702.463
1970-01-01 00:01:00,685.055
1970-01-01 00:01:01,683.519
1970-01-01 00:01:02,722.943
1970-01-01 00:01:03,703.999
1970-01-01 00:01:04,679.423
1970-01-01 00:01:05,683.007
1970-01-01 00:01:06,668.159
1970-01-01 00:01:07,695.807
1970-01-01 00:01:08,694.271
1970-01-01 00:01:09,664.063
1970-01-01 00:01:10,685.567
1970-01-01 00:01:11,736.255
1970-01-01 00:01:12,700.927
1970-01-01 00:01:13,672.255
1970-01-01 00:01:14,693.247
1970-01-01 00:01:15,703.487
1970-01-01 00:01:16,694.271
1970-01-01 00:01:17,665.599
1970-01-01 00:01:18,692.735
1970-01-01 00:01:19,717.823
1970-01-01 00:01:20,729.599
1970-01-01 00:01:21,710.143
1970-01-01 00:01:22,716.287
1970-01-01 00:01:23,689.663
1970-01-01 00:01:24,692.223
1970-01-01 00:01:25,707.071
1970-01-01 00:01:26,664.063
1970-01-01 00:01:27,697.343
1970-01-01 00:01:28,691.199
1970-01-01 00:01:29,704.511
1970-01-01 00:01:30,779.775
1970-01-01 00:01:31,716.799
1970-01-01 00:01:32,725.503
1970-01-01 00:01:33,685.055
1970-01-01 00:01:34,680.959
1970-01-01 00:01:35,686.079
1970-01-01 00:01:36,699.903
1970-01-01 00:01:37,698.367
1970-01-01 00:01:38,664.575
1970-01-01 00:01:39,741.887
1970-01-01 00:01:40,718.847
1970-01-01 00:01:41,706.559
1970-01-01 00:01:42,738.303
1970-01-01 00:01:43,722.943
1970-01-01 00:01:44,686.591
1970-01-01 00:01:45,697.855
1970-01-01 00:01:46,699.391
1970-01-01 00:01:47,721.407
1970-01-01 00:01:48,721.919
1970-01-01 00:01:49,689.151
1970-01-01 00:01:50,697.855
1970-01-01 00:01:51,705.535
1970-01-01 00:01:52,685.567
1970-01-01 00:01:53,697.343
1970-01-01 00:01:54,673.279
1970-01-01 00:01:55,683.519
1970-01-01 00:01:56,702.975
1970-01-01 00:01:57,736.255
1970-01-01 00:01:58,719.359
1970-01-01 00:01:59,672.255
1970-01-01 00:02:00,681.471
1970-01-01 00:02:01,695.295
1970-01-01 00:02:02,695.295
1970-01-01 00:02:03,705.023
1970-01-01 00:02:04,701.951
1970-01-01 00:02:05,656.383
1970-01-01 00:02:06,707.071
1970-01-01 00:02:07,735.743
1970-01-01 00:02:08,684.543
1970-01-01 00:02:09,679.423
1970-01-01 00:02:10,689.151
1970-01-01 00:02:11,697.343
1970-01-01 00:02:12,661.503
1970-01-01 00:02:13,677.887
1970-01-01 00:02:14,712.191
1970-01-01 00:02:15,708.607
1970-01-01 00:02:16,665.087
1970-01-01 00:02:17,731.135
1970-01-01 00:02:18,689.151
1970-01-01 00:02:19,670.719
1970-01-01 00:02:20,675.839
1970-01-01 00:02:21,704.511
1970-01-01 00:02:22,715.775
1970-01-01 00:02:23,699.391
1970-01-01 00:02:24,740.351
1970-01-01 00:02:25,816.639
1970-01-01 00:02:26,724.479
1970-01-01 00:02:27,728.575
1970-01-01 00:02:28,686.079
1970-01-01 00:02:29,665.087
1970-01-01 00:02:30,693.759
1970-01-01 00:02:31,690.175
1970-01-01 00:02:32,649.727
1970-01-01 00:02:33,708.095
1970-01-01 00:02:34,726.527
1970-01-01 00:02:35,716.799
1970-01-01 00:02:36,704.511
1970-01-01 00:02:37,676.351
1970-01-01 00:02:38,675.327
1970-01-01 00:02:39,681.471
1970-01-01 00:02:40,667.647
1970-01-01 00:02:41,683.519
1970-01-01 00:02:42,746.495
1970-01-01 00:02:43,712.191
1970-01-01 00:02:44,657.407
1970-01-01 00:02:45,674.815
1970-01-01 00:02:46,699.391
1970-01-01 00:02:47,701.951
1970-01-01 00:02:48,673.279
1970-01-01 00:02:49,700.927
1970-01-01 00:02:50,678.911
1970-01-01 00:02:51,699.391
1970-01-01 00:02:52,680.447
1970-01-01 00:02:53,686.591
1970-01-01 00:02:54,691.199
1970-01-01 00:02:55,681.983
