"run_label","benchmark","10%(us)","20%(us)","50%(us)","75%(us)","90%(us)","95%(us)","99%(us)","99.9%(us)","99.99%(us)","max(us)","operations","duration(ms)","throughput"
27-11-2023_16-33-32,IAtomicReferenceTest.casOptimisticConcurrencyControl,241.663,252.927,396.287,488.447,534.527,574.463,613.375,675.839,824.831,8953.855,2704828,357026,7575.997266305535
27-11-2023_16-21-50,IAtomicReferenceTest.casOptimisticConcurrencyControlLite,253.439,265.215,395.263,505.855,545.791,584.703,630.783,706.559,854.527,9469.951,2628795,357024,7363.076431836515
